recipe_id,recipe_name,receipe_alt_name,instructions,section id,section_name,ingrediant_row_id,ingrediant_id,ingrediant_name,ingrediant_qty,measure_unit,pack_type,pack_qty,to_order_unit_qty
34,טורטליני דלעת צלויה בחמאת מרווה,,tbd,1,בצק פסטה,475,200,קמח פסטה,200,גרם,אריזה,1000,0.2
35,כרבולות תרנגול בתפו״א ומנטה,,tbd,2,בצק פסטה ירוק,498,200,קמח פסטה,400,גרם,אריזה,1000,0.4
20,שרימפס פריך ברוטב גריביש,,tbd,2,ציפוי,258,112,קמח תפוחי אדמה,30,גרם,אריזה,500,0.06
28,עוף בקארי מאסמן,,tbd,2,הגשה,410,143,קריספי שאלוט,10,גרם,גרם,50,0.2
5,"מרק קוקוס, גלנגל ועוף",Tom Ka Gai,tbd,1,מתכון,57,43,קרם קוקוס,200,גרם,צנצנת,400,0.5
28,עוף בקארי מאסמן,,tbd,1,מתכון,397,43,קרם קוקוס,200,גרם,צנצנת,400,0.5
5,"מרק קוקוס, גלנגל ועוף",Tom Ka Gai,tbd,1,מתכון,64,113,רוטב דגים,2,כף,בקבוק,100,0.02
22,סלט שרימפס ופומלה,,tbd,2,סלט,308,113,רוטב דגים,3,כף,בקבוק,100,0.03
28,עוף בקארי מאסמן,,tbd,1,מתכון,401,113,רוטב דגים,3,כף,בקבוק,100,0.03
22,סלט שרימפס ופומלה,,tbd,1,רוטב,298,113,רוטב דגים,5,כף,בקבוק,100,0.05
21,ספרינג רול ויאטנמי,,tbd,3,רוטב,285,113,רוטב דגים,20,גרם,בקבוק,100,0.2
22,סלט שרימפס ופומלה,,tbd,1,רוטב,296,114,ריבת צ׳ילי,1,כף,בקבוק,100,0.01
14,קיש לוריין,Quiche Lorraine,tbd,1,מתכון,174,115,רינג 20 סמ * 2.5,1,יחידה,יחידה,1,1
15,טארט בורדלו,Tarte Bourdaloue,tbd,1,מתכון,188,115,רינג 20 סמ * 2.5,1,יחידה,יחידה,1,1
16,טארט לימון,,tbd,1,מתכון,206,115,רינג 20 סמ * 2.5,1,יחידה,יחידה,1,1
34,טורטליני דלעת צלויה בחמאת מרווה,,tbd,2,מלית,481,201,ריקוטה,50,גרם,גרם,100,0.5
18,פילה דניס עם ירקות בסגנון בויאבז,,tbd,1,רוטב,234,116,רסק עגבניות,1,כפית,משחה,20,0.05
40,ביף בורגיניון,,tbd,2,רוטב,564,116,רסק עגבניות,1,כפית,משחה,20,0.05
25,ציר בקר 6 ליטר,,tbd,1,מתכון,356,116,רסק עגבניות,2,כף,משחה,20,0.1
29,עוף קונג פאו,,tbd,1,רוטב,418,146,שאוסינג,5,כף,בקבוק,100,0.05
20,שרימפס פריך ברוטב גריביש,,tbd,4,גריביש,272,117,שאלוט,0.5,יחידה,יחידה,1,0.5
5,"מרק קוקוס, גלנגל ועוף",Tom Ka Gai,tbd,1,מתכון,59,117,שאלוט,1,יחידה,יחידה,1,1
24,פילה בקר בחוט,,tbd,2,רוטב ברנייז Bearnaise,345,117,שאלוט,1,יחידה,יחידה,1,1
31,ריזוטו לבן עם פטריות,,tbd,1,ריזוטו,434,117,שאלוט,1,יחידה,יחידה,1,1
32,ריזוטו אדום עם קלמרי,,tbd,1,מתכון,453,117,שאלוט,1,יחידה,יחידה,1,1
45,"טארט עגבניות, זיתים ודג כבוש",,tbd,1,קונקסה,605,117,שאלוט,1,יחידה,יחידה,1,1
46,ביף וולינגטון,,tbd,2,דוקסל,636,117,שאלוט,1,יחידה,יחידה,1,1
46,ביף וולינגטון,,tbd,4,רוטב,649,117,שאלוט,1,יחידה,יחידה,1,1
12,סלט ירוק עם ויניגרט עשבים,,tbd,2,רוטב,145,117,שאלוט,2,יחידה,יחידה,1,2
28,עוף בקארי מאסמן,,tbd,1,מתכון,399,117,שאלוט,3,יחידה,יחידה,1,3
22,סלט שרימפס ופומלה,,tbd,2,סלט,306,117,שאלוט,4,יחידה,יחידה,1,4
40,ביף בורגיניון,,tbd,4,תוספות,570,117,שאלוט,4,יחידה,יחידה,1,4
22,סלט שרימפס ופומלה,,tbd,2,סלט,304,118,שבבי קוקוס קלויים,2,כף,אריזה,50,0.04
33,מוס שוקולד,,tbd,2,מרנג,473,118,שבבי קוקוס קלויים,10,גרם,אריזה,50,0.2
6,ריבולטה,Ribollita,tbd,1,מתכון,75,119,שום,1,שן,ראש,12,0.08333333333
20,שרימפס פריך ברוטב גריביש,,tbd,1,מתכון,255,119,שום,1,שן,ראש,12,0.08333333333
21,ספרינג רול ויאטנמי,,tbd,3,רוטב,290,119,שום,1,שן,ראש,12,0.08333333333
26,"אנטריקוט צלוי, רוטב פלפל ותפוחי אדמה",,tbd,1,מתכון,368,119,שום,1,שן,ראש,12,0.08333333333
26,"אנטריקוט צלוי, רוטב פלפל ותפוחי אדמה",,tbd,2,רוטב,372,119,שום,1,שן,ראש,12,0.08333333333
26,"אנטריקוט צלוי, רוטב פלפל ותפוחי אדמה",,tbd,3,תפוח אדמה בפרסיאד,383,119,שום,1,שן,ראש,12,0.08333333333
31,ריזוטו לבן עם פטריות,,tbd,2,פטריות,443,119,שום,1,שן,ראש,12,0.08333333333
34,טורטליני דלעת צלויה בחמאת מרווה,,tbd,3,רוטב,491,119,שום,1,שן,ראש,12,0.08333333333
46,ביף וולינגטון,,במתכון 50 גרם גזר+סלרי+שום,4,רוטב,652,119,שום,1,שן,ראש,12,0.08333333333
48,טרין כבד אווז ועוף עם צ׳אטני תפוחים,,tbd,2,צ׳אטני,683,119,שום,1,שן,ראש,12,0.08333333333
2,רטטוי,Ratatouille,tbd,1,מתכון,23,119,שום,2,שן,ראש,12,0.1666666667
22,סלט שרימפס ופומלה,,tbd,2,סלט,310,119,שום,2,שן,ראש,12,0.1666666667
29,עוף קונג פאו,,tbd,1,מנה,423,119,שום,2,שן,ראש,12,0.1666666667
32,ריזוטו אדום עם קלמרי,,tbd,1,מתכון,460,119,שום,2,שן,ראש,12,0.1666666667
39,ניוקי פריזאי עם ירקות ירוקים,,tbd,2,הגשה,547,119,שום,2,שן,ראש,12,0.1666666667
18,פילה דניס עם ירקות בסגנון בויאבז,,tbd,1,רוטב,230,119,שום,3,שן,ראש,12,0.25
21,ספרינג רול ויאטנמי,,tbd,2,מלית,282,119,שום,3,שן,ראש,12,0.25
40,ביף בורגיניון,,tbd,2,רוטב,562,119,שום,3,שן,ראש,12,0.25
45,"טארט עגבניות, זיתים ודג כבוש",,tbd,2,אסקבש escabeche,614,119,שום,3,שן,ראש,12,0.25
19,ציר דגים 2.5 ליטר,Fumet de Possions,tbd,1,מתכון,251,119,שום,4,שן,ראש,12,0.3333333333
25,ציר בקר 6 ליטר,,tbd,1,מתכון,354,119,שום,5,שן,ראש,12,0.4166666667
3,ציר עוף 5.5 ליטר,Fond Blanc de Vollaille,tbd,1,מתכון,35,119,שום,10,שן,ראש,12,0.8333333333
45,"טארט עגבניות, זיתים ודג כבוש",,tbd,3,סלט,625,120,שומר,0.3,יחידה,יחידה,1,0.3
18,פילה דניס עם ירקות בסגנון בויאבז,,tbd,2,ירקות,240,120,שומר,0.5,יחידה,יחידה,1,0.5
19,ציר דגים 2.5 ליטר,Fumet de Possions,tbd,1,מתכון,250,120,שומר,1,יחידה,יחידה,1,1
32,ריזוטו אדום עם קלמרי,,tbd,1,מתכון,463,120,שומר,1,יחידה,יחידה,1,1
33,מוס שוקולד,,tbd,1,מתכון,464,163,שוקולד מריר,200,גרם,אריזה,100,2
25,ציר בקר 6 ליטר,,tbd,1,מתכון,361,121,שורש סלרי,1,יחידה,יחידה,1,1
23,פוט או פה (סיר על האש),Pot au Feu,tbd,1,מתכון,322,121,שורש סלרי,2,יחידה,יחידה,1,2
